run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,key_press,StimulusDurationSetting,ExperimentPhase,correctResponse,slider_start,response,Rearranged,didSubjectEnterRearranged,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
84,1,865.54,"{""Q0"":""1""}",survey-text,0,870,0.0-0.0,"""","""","""","""","""","""","""","""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,1543.34,"""",image-button-response,1,2456,0.0-1.0,directionsMemoryAssociation1.JPG,0,1,directions,"""","""","""","""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,856.225,"""",image-button-response,2,3335,0.0-2.0,directionsMemoryAssociation2.JPG,0,1,directions,"""","""","""","""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,3,8588,0.0-3.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WF-220-101-N.jpg' height=""250px"">,</br><b>Lisa</b>","""",1,IntactFace,null,5000,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,4,9587,0.0-4.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,null,Memorization,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,5,15587,0.0-5.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WM-222-057-N.jpg' height=""250px"">,</br><b>Marcus</b>","""",2,IntactFace,null,5000,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,6,16587,0.0-6.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,null,Memorization,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,7,22587,0.0-7.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg' height=""250px"">,</br><b>Shannon</b>","""",3,IntactFace,null,5000,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,8,23587,0.0-8.0,"<div style=""font-size:60px;"">+</div>","""",3,ITI,null,Memorization,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,9,28589,0.0-9.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WM-232-070-N.jpg' height=""250px"">,</br><b>Patrick</b>","""",4,IntactFace,null,5000,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,10,29587,0.0-10.0,"<div style=""font-size:60px;"">+</div>","""",4,ITI,null,Memorization,Memorization,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,28569.515,"""",image-button-response,11,58158,0.0-11.0,directionsForTest.JPG,0,1,directions,"""","""","""","""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,12,59162,0.0-12.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,13,59416,0.0-13.0,jspsych/scrambledNeutralFaces/scrambledAF07NES.JPG,"""",1,forwardMask,null,250,Practice,n,"""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,14,59435,0.0-14.0,jspsych/neutralFaces/AF07NES.JPG,"""",1,Cue,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,15,59537,0.0-15.0,jspsych/neutralFaces/AM07NES.JPG,"""",1,backwardMask,null,100,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,16,60539,0.0-16.0,"<div style=""font-size:60px;"">+</div>","""",1,fixationBtwnNeutralMaskAndPrompt,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,952.39,"""",html-slider-response,17,61499,0.0-17.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WM-232-070-N.jpg'height=""250px""></br><b>Patrick</b>","""",1,ConfidenceQuery,"""","""",Practice,"""",50,50,0,2,1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,1336.13,"""",html-button-response,18,62841,0.0-18.0,<p>You responded that you were not sure.</p> <p>The pair was intact.</p>,0,1,feedback,"""","""",practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,19,63844,0.0-19.0,"<div style=""font-size:60px;"">+</div>","""",2,ITI,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,20,64097,0.0-20.0,jspsych/scrambledDisgustFaces/scrambledAM11DIS.JPG,"""",2,forwardMask,null,250,Test,d,"""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,21,64116,0.0-21.0,jspsych/disgustFaces/AM11DIS.JPG,"""",2,Cue,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,22,64219,0.0-22.0,jspsych/neutralFaces/BM16NES.JPG,"""",2,backwardMask,null,100,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,23,65222,0.0-23.0,"<div style=""font-size:60px;"">+</div>","""",2,fixationBtwnNeutralMaskAndPrompt,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,886.5149999,"""",html-slider-response,24,66111,0.0-24.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WM-222-057-N.jpg'height=""250px""></br><b>Marcus</b>","""",2,ConfidenceQuery,"""","""",Practice,"""",50,50,1,2,1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,3343.37,"""",html-button-response,25,69455,0.0-25.0,<p>You responded that you were not sure.</p> <p>The pair was rearranged.</p>,0,2,feedback,"""","""",practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,26,70460,0.0-26.0,"<div style=""font-size:60px;"">+</div>","""",3,ITI,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,27,70713,0.0-27.0,jspsych/scrambledNeutralFaces/scrambledAF31NES.JPG,"""",3,forwardMask,null,250,Practice,n,"""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,28,70732,0.0-28.0,jspsych/neutralFaces/AF31NES.JPG,"""",3,Cue,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,29,70834,0.0-29.0,jspsych/neutralFaces/BF09NES.JPG,"""",3,backwardMask,null,100,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,30,71837,0.0-30.0,"<div style=""font-size:60px;"">+</div>","""",3,fixationBtwnNeutralMaskAndPrompt,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,1711.295,"""",html-slider-response,31,73550,0.0-31.0,"<p><b> Practice Set </b></p><img src='jspsych/CFDfaces/CFD-WF-218-087-N.jpg'height=""250px""></br><b>Shannon</b>","""",3,ConfidenceQuery,"""","""",Practice,"""",50,50,1,2,1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,1804.895,"""",html-button-response,32,75357,0.0-32.0,<p>You responded that you were not sure.</p> <p>The pair was rearranged.</p>,0,3,feedback,"""","""",practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",html-keyboard-response,33,76360,0.0-33.0,"<div style=""font-size:60px;"">+</div>","""",4,ITI,null,1000,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,34,76613,0.0-34.0,jspsych/scrambledNeutralFaces/scrambledAF21NES.JPG,"""",4,forwardMask,null,250,Practice,n,"""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,35,76636,0.0-35.0,jspsych/neutralFaces/AF21NES.JPG,"""",4,Cue,null,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}",Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
84,1,null,"""",image-keyboard-response,36,76738,0.0-36.0,jspsych/neutralFaces/BF30NES.JPG,"""",4,backwardMask,null,100,Practice,"""","""","""","""","""",1/25/2021 1:18,67.83.183.0,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/87.0.4280.141 Safari/537.36",WebKit,Chrome,87.0.4280.141,Windows,10
