run_id,condition,rt,responses,trial_type,trial_index,time_elapsed,internal_node_id,stimulus,button_pressed,iTrial,Phase,ExperimentPhase,key_press,StimulusDurationSetting,CharacterResponse,correctResponse,Face,Name,rearranged,slider_start,response,didSubjectEnterRearranged,Block,question_order,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
4,1,null,"""",html-keyboard-response,13,125333,0.0-13.0,"<img src='jspsych/CFDfaces/CFD-AF-220-107-N.jpg' height=""250px"">,</br><b>Cassandra</b>","""",6,IntactFace,Practice,null,5000,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-keyboard-response,14,125855,0.0-14.0,"<div style=""font-size:60px;"">+</div>","""",6,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,3402,"""",html-keyboard-response,15,130880,0.0-15.0,"<img src='jspsych/CFDfaces/CFD-BF-218-207-N.jpg' height=""250px"">,</br><b>Tara</b>","""",7,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-keyboard-response,16,131392,0.0-16.0,"<div style=""font-size:60px;"">+</div>","""",7,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,3470,"""",html-keyboard-response,17,136406,0.0-17.0,"<img src='jspsych/CFDfaces/CFD-LM-219-295-N.jpg' height=""250px"">,</br><b>Samuel</b>","""",8,IntactFace,Practice,78,5000,n,"""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-keyboard-response,18,136915,0.0-18.0,"<div style=""font-size:60px;"">+</div>","""",8,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,54042,"""",image-button-response,19,190969,0.0-19.0,directionsForTest.JPG,0,1,directionsForTest,break,"""","""","""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,8000,"""",image-button-response,20,198979,0.0-20.0,directionsForTest2.JPG,0,1,directionsForTest2,break,"""","""","""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",html-keyboard-response,21,200002,0.0-21.0,"<div style=""font-size:60px;"">+</div>","""",1,ITI,Practice,null,1000,"""","""","""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
4,1,null,"""",image-keyboard-response,22,200258,0.0-22.0,jspsych/scrambledDisgustFaces/scrambledAM10DIS.JPG,"""",1,forwardMask,Practice,null,250,"""",d,"""","""","""","""","""","""","""","""",3/22/2021 19:55,94.34.154.188,Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:86.0) Gecko/20100101 Firefox/86.0,,Firefox,86,Windows,10
