run_id,condition,rt,stimulus,key_press,trial_type,trial_index,time_elapsed,internal_node_id,iTrial,Phase,StimulusDurationSetting,correctResponse,recorded_at,ip,user_agent,device,browser,browser_version,platform,platform_version
42,1,1159.06,Press Key to Begin Experiment,68,html-keyboard-response,0,1164,0.0-0.0,1,welcomeScreen,"""","""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,1,1333,0.0-1.0,1,ITI,50,"""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,jspsych/allScrambledFaces/scrambledBM06DIS.JPG,null,image-keyboard-response,2,1539,0.0-2.0,1,forwardMask,50,d,10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,jspsych/allFaces/BM06DIS.JPG,null,image-keyboard-response,3,1700,0.0-3.0,1,Cue,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}","""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,jspsych/allFaces/BM27NES.JPG,null,image-keyboard-response,4,1759,0.0-4.0,1,backwardMask,50,"""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,5,1817,0.0-5.0,1,fixationBtwnNeutralMaskAndPrompt,50,"""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,"<div style=""font-size:60px;"">+</div>",null,html-keyboard-response,6,1878,0.0-6.0,2,ITI,50,"""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,jspsych/allScrambledFaces/scrambledAM25NES.JPG,null,image-keyboard-response,7,1943,0.0-7.0,2,forwardMask,50,n,10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,jspsych/allFaces/AM25NES.JPG,null,image-keyboard-response,8,2008,0.0-8.0,2,Cue,"function(){
        return jsPsych.randomization.sampleWithoutReplacement(cueDuration, 1)[0]}","""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
42,1,null,jspsych/allFaces/AF33NES.JPG,null,image-keyboard-response,9,2065,0.0-9.0,2,backwardMask,50,"""",10/23/2020 21:25,69.125.145.27,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/86.0.4240.111 Safari/537.36",WebKit,Chrome,86.0.4240.111,Windows,10
